FF_NDB,SR_NDB,food_category_id,FF Food description,SR Food description,Nutrient_id,rank,FF_Component,SR_Component,unit_name,SR Mean per 100g,SR Min,SR Max, Std_Error,SR Num_Data_pts,FF Mean per 100g,FF Min,FF Max,FF Median,FF data_points,FF Publication Date
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1109,7905,Vitamin E (alpha-tocopherol),Vitamin E (alpha-tocopherol),MG,0.01,0.01,0.02,0.002,12,0.02,0.01,0.05,0.02,6,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1114,8700,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,1.2,,,,24,1.06,,,,,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1090,5500,"Magnesium, Mg","Magnesium, Mg",MG,11,9,12,0.093,22,12,10.5,14,12,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1198,7290,Betaine,Betaine,MG,0.6,,,,1,0.9,0.6,1.6,0.8,6,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1004,800,Total lipid (fat),Total lipid (fat),G,0.97,0.84,1,0.026,6,0.95,0.72,1.19,0.94,24,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1292,11400,"Fatty acids, total monounsaturated","Fatty acids, total monounsaturated",G,0.277,,,,0,0.21,0.17,0.25,0.2,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1215,16800,Methionine,Methionine,G,0.088,,,,0,0.093,0.08,0.11,0.09,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1129,8400,"Tocotrienol, beta","Tocotrienol, beta",MG,0,0,0,0,12,0,0,0,0,6,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1098,6000,"Copper, Cu","Copper, Cu",MG,0.013,0.008,0.015,0,24,0.002,0,0.006,0,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1011,1700,Glucose,Glucose (dextrose),G,0,0,0,0,12,0,0,0,0,12,12/16/2019
