FF_NDB,SR_NDB,food_category_id,FF Food description,SR Food description,Nutrient_id,rank,FF_Component,SR_Component,unit_name,SR Mean per 100g,SR Min,SR Max, Std_Error,SR Num_Data_pts,FF Mean per 100g,FF Min,FF Max,FF Median,FF data_points,FF Publication Date
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1011,1700,Glucose,Glucose (dextrose),G,0,0,0,0,5,0,0,0,0,5,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1126,8100,"Tocopherol, gamma","Tocopherol, gamma",MG,0.13,0.13,0.14,,2,0.13,0.13,0.14,0.13,2,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1013,1900,Lactose,Lactose,G,2.15,1.15,4.67,0.092,5,2.5,1.15,4.67,1.32,5,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1128,8300,"Tocotrienol, alpha","Tocotrienol, alpha",MG,0.02,0.02,0.02,,2,0.02,0.02,0.02,0.02,2,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1178,7300,Vitamin B-12,Vitamin B-12,UG,1.5,1.2,1.6,0.03,4,1.45,1.2,1.6,1.5,4,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1105,7430,Retinol,Retinol,UG,313,278,331,,3,297,278,331,282,3,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1293,12900,"Fatty acids, total polyunsaturated","Fatty acids, total polyunsaturated",G,1.286,,,,0,1.09,,,,,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1170,6700,Pantothenic acid,Pantothenic acid,MG,0.403,0.4,0.43,,2,0.415,0.4,0.43,0.415,2,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1112,8720,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),UG,7.5,,,,1,7.5,,,7.5,1,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1003,600,Protein,Protein,G,18.13,16.3,21.5,0.128,13,18,16.3,21.5,17.9,,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1258,9700,"Fatty acids, total saturated","Fatty acids, total saturated",G,18.057,,,,0,18.1,,,,,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1175,6800,Vitamin B-6,Vitamin B-6,MG,0.054,0.053,0.059,,2,0.056,0.053,0.059,0.056,2,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1101,6100,"Manganese, Mn","Manganese, Mn",MG,0.041,0.018,0.066,0.001,19,0.038,0.018,0.066,0.044,19,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1014,2000,Maltose,Maltose,G,0,0,0,0,5,0,0,0,0,5,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1165,6400,Thiamin,Thiamin,MG,0.015,0.015,0.015,,2,0.015,0.015,0.015,0.015,2,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1107,7440,"Carotene, beta","Carotene, beta",UG,49,0,78,,3,26,0,78,0,3,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1008,300,Energy,Energy,KCAL,366,,,,0,366,,,,,4/1/2019
